id;receipt_no;trace_no;amount;transaction_type;vu_no;receipt_type;ref_parameters;licensing_no;pos_info;result;date
1;3141;852745;41125;SYSTEM;28819;Northwest flimsy play;22252;26506;30172;SUCCESS;2023-07-19
2;1355;83891;22575;UNKNOWN;19963;Avon Afghani;2480;14860;9886;SUCCESS;2023-07-20
3;5051;873909;58176;ELVOLV;16988;Refined East Transexual;19629;9459;32709;SUCCESS;2023-07-19
4;541;236483;95866;UNKNOWN;16423;Zambia Configurable hertz;30512;182;5454;REJECTED;2023-07-19
5;7020;869769;49634;GIROCARD;18297;Outdoors Dodge;5816;16637;31722;REJECTED;2023-07-20
6;5549;25911;7905;UNKNOWN;9145;Djibouti Nevada East;26759;3610;22528;REJECTED;2023-07-20
7;3359;181562;90884;CREDITCARD;29125;Other Granite red;29244;26445;28282;REJECTED;2023-07-20
8;8093;283815;23125;ELVOLV;29325;pleasant Kia payment;17740;11990;23493;SUCCESS;2023-07-20
9;4223;13780;87308;EUROELV;27444;Electric Devolved;26003;28022;9570;SUCCESS;2023-07-19
10;1840;348157;83454;SYSTEM;11906;Rustic application synergize;9972;31631;15932;SUCCESS;2023-07-20
